bill_id,sponsor_name
ocd-bill/2f7229f0-c67a-4a3e-97ec-65c2a59fe4ca,Mike Reilly
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,Stacey Pheffer Amato
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,Brian Cunningham
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,David Weprin
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,John Zaccaro Jr.
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,Christopher Eachus
ocd-bill/a13019e5-a5a5-4e4c-971f-887e8a3e08f3,Phara Souffrant Forrest
ocd-bill/849738c6-27cc-4925-8b32-8363c9938636,Jessica Gonzalez-Rojas
ocd-bill/6cd5e60c-bb5b-4127-bdd8-1b9b7a876c4a,Michael J. Fitzpatrick
ocd-bill/dc62bf44-e79f-4452-b2b2-6229a5ba165c,Amy Paulin
ocd-bill/6aff52ae-4693-4154-8506-dd835e79042a,Michaelle C. Solages
ocd-bill/1d798bdc-17c7-44d2-9b62-5bb96baad9fe,Latoya Joyner
ocd-bill/faa4f5c1-09df-4c8d-9c7d-ce09cea1e406,Scott Gray
ocd-bill/0e632a62-5e1f-46fd-97dc-6aa93d30b528,Amy Paulin
ocd-bill/ed87aef2-5467-464d-be99-8d3376732b3b,Amy Paulin
ocd-bill/544946f6-e240-4d96-859b-40d4d3666e17,Fred Thiele
ocd-bill/ee573350-bc23-4dc1-b99f-320a211249b5,Anna Kelles
ocd-bill/e9764e55-8dbc-49ba-89e9-498a05652e61,Brian D. Miller
ocd-bill/e9764e55-8dbc-49ba-89e9-498a05652e61,Brian Manktelow
ocd-bill/e9764e55-8dbc-49ba-89e9-498a05652e61,Chris Tague
ocd-bill/231334c4-690b-4d8b-b389-15ec61968612,Charles Lavine
ocd-bill/67884ab4-63d2-4a0a-a2fe-719b9c957c3a,Christopher Eachus
ocd-bill/342e586b-b97d-4d96-89df-7a63f7ca5e14,Stefani Zinerman
ocd-bill/d72b5982-13a9-4697-a4bf-a56e5942cc8c,Aileen Gunther
ocd-bill/08680922-d2df-43f8-bd84-0836951dedc9,Keith Brown
ocd-bill/12f7b47c-ae92-4b95-babd-bf206ebc9fdc,J. Gary Pretlow
ocd-bill/0b62ad1b-e822-400a-944e-5353ef18ae8f,Keith Brown
ocd-bill/08dc296a-5b51-4d1a-9293-35366e65e7be,Jenifer Rajkumar
ocd-bill/d9c664e2-f3a1-4a1b-8b52-6207d8f66ccf,Brian Cunningham
ocd-bill/55d68020-0ed2-4b1a-9b6d-3a18891d6c27,Tony Simone
ocd-bill/61b17cad-14d7-4816-bf70-f32fa15f4956,Linda Rosenthal
ocd-bill/6672f60a-747e-4e69-a42b-c0b484456bd4,Carrie Woerner
ocd-bill/01b996e1-bc0b-4307-bb16-e231710a3fac,Harry B. Bronson
ocd-bill/00103204-309a-48ec-81cd-b986b0c9c1a9,Amy Paulin
ocd-bill/ed9f9d06-22b2-4f2d-b1aa-74899a07d870,Stacey Pheffer Amato
ocd-bill/be69d388-4175-47b7-aae3-870f76d17fb5,Harvey Epstein
ocd-bill/1edd87cb-6442-4ab0-bae1-4976f7309cd6,Marianne Buttenschon
ocd-bill/0eba42ac-447d-4228-b90d-cf42c81019ce,Matthew Simpson
ocd-bill/68ee7d81-56bd-4ddf-839b-ff0e47779d98,Joe Angelino
ocd-bill/af3b764a-462d-42ba-9f9e-94e6ab4a37ab,Joe Angelino
ocd-bill/a122d18d-aa65-4599-a10c-82aada09ecae,Brian D. Miller
ocd-bill/85bbcfb3-9e3b-444c-b2a7-037f54332239,Kenneth Zebrowski
ocd-bill/85bbcfb3-9e3b-444c-b2a7-037f54332239,Jeffrey Dinowitz
ocd-bill/6107ca76-fcea-471b-8ad0-2a27b5c8ac3a,Jeff Gallahan
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,William Magnarelli
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,Monica P. Wallace
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,Karen McMahon
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,William Conrad
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,Carrie Woerner
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,Angelo Santabarbara
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,Billy Jones
ocd-bill/2de6689a-2ea3-48aa-8312-eb585ab0bd91,Brian Cunningham
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Michael Durso
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Brian D. Miller
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Jerett Gandolfo
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Mike Reilly
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Keith Brown
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Matthew Slater
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Doug Smith
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Brian Maher
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Robert Smullen
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Karl Brabenec
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Steve Stern
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,David McDonough
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Josh Jensen
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,Joe Angelino
ocd-bill/2ad2546a-14d3-4e09-b877-61c0755911b8,Steve Stern
ocd-bill/d7148158-29b1-4554-a20f-9e2c88c94b37,Stacey Pheffer Amato
ocd-bill/e4fa1acf-401b-4798-9630-f3ce9196abc1,William Magnarelli
ocd-bill/a0cc0e91-0369-4f98-bf67-17efbbe0f5e3,Patricia Fahy
ocd-bill/e202bccd-54ca-4a7a-89d7-e54079dbabce,Stacey Pheffer Amato
ocd-bill/e202bccd-54ca-4a7a-89d7-e54079dbabce,Chris Burdick
ocd-bill/e202bccd-54ca-4a7a-89d7-e54079dbabce,Inez E. Dickens
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Linda Rosenthal
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Crystal Peoples-Stokes
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Amy Paulin
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Robert C. Carroll
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Jo Anne Simon
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Harvey Epstein
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Catalina Cruz
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Phil Steck
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Jessica Gonzalez-Rojas
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Zohran Mamdani
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Phara Souffrant Forrest
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Demond Meeks
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Emily Gallagher
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Deborah Glick
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Anna Kelles
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Chris Burdick
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Andrew Hevesi
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Marcela Mitaynes
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Charles Lavine
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Sarah Clark
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Al Taylor
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Rodneyse Bichotte Hermelyn
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,David Weprin
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Jeffrion Aubry
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Rebecca Seawright
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,John T. McDonald III
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Kenny Burgos
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Latrice Walker
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,George Alvarez
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Brian Cunningham
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Tony Simone
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Sarahana Shrestha
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Albert A. Stirpe
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Stefani Zinerman
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Karines Reyes
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,Michael Benedetto
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jonathan Rivera
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Patrick Burke
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Kenny Burgos
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Robert C. Carroll
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Catalina Cruz
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Manny De Los Santos
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jeffrey Dinowitz
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Harvey Epstein
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Patricia Fahy
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jessica Gonzalez-Rojas
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Karen McMahon
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Steven Otis
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jenifer Rajkumar
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Phara Souffrant Forrest
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jo Anne Simon
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Juan Ardila
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Chris Burdick
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Brian Cunningham
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Zohran Mamdani
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Andrew Hevesi
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Anna Kelles
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,MaryJane Shimsky
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Tony Simone
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,John T. McDonald III
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Sarah Clark
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Sarahana Shrestha
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Fred Thiele
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jen Lunsford
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Monica P. Wallace
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,William Colton
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Linda Rosenthal
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Steven Raga
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Amanda Septimo
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jonathan Jacobson
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Steve Stern
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Phil Steck
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Khaleel Anderson
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Ron Kim
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Deborah Glick
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Aileen Gunther
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Angelo Santabarbara
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Didi Barrett
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Rebecca Seawright
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Edward Ra
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Stefani Zinerman
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,David Weprin
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Michaelle C. Solages
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Pamela J. Hunter
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,William Conrad
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Karines Reyes
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Carrie Woerner
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Al Taylor
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Nader Sayegh
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Christopher Eachus
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Charles Lavine
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Amy Paulin
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Michael Benedetto
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,J. Gary Pretlow
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Michael Novakhov
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Keith Brown
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Matthew Slater
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Gina Sillitti
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Yudelka Tapia
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Billy Jones
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Albert A. Stirpe
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Alex Bores
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Demond Meeks
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Donna Lupardo
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,John Zaccaro Jr.
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Grace Lee
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jeffrion Aubry
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Harry B. Bronson
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Maritza Davila
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Latoya Joyner
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Chantel Jackson
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Dana Levenberg
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,Jaime R. Williams
ocd-bill/6dccc3d9-ab06-4d71-b0b4-5a2a9ec49edd,John T. McDonald III
ocd-bill/6dccc3d9-ab06-4d71-b0b4-5a2a9ec49edd,Angelo Santabarbara
ocd-bill/6dccc3d9-ab06-4d71-b0b4-5a2a9ec49edd,Albert A. Stirpe
ocd-bill/6dccc3d9-ab06-4d71-b0b4-5a2a9ec49edd,Anna Kelles
ocd-bill/5e8b977a-22c6-4fcf-919c-dc9c4648488e,J. Gary Pretlow
ocd-bill/36a22f50-725f-4e43-b621-b6d873d5eaa4,Jeffrey Dinowitz
ocd-bill/36a22f50-725f-4e43-b621-b6d873d5eaa4,Pamela J. Hunter
ocd-bill/0be0c379-90ad-4831-833f-ea11ffe2caba,Linda Rosenthal
ocd-bill/301533f2-e735-432f-8210-0d89be887144,Edward Braunstein
ocd-bill/98f9a50c-75bf-49ee-b081-c2a43a929cfa,Linda Rosenthal
ocd-bill/98f9a50c-75bf-49ee-b081-c2a43a929cfa,Dana Levenberg
ocd-bill/9a033953-7802-4e9f-92e5-41c0f4b4dfd3,Edward Braunstein
ocd-bill/e40c3cab-5c00-4810-a2aa-e7d6bc101a8f,J. Gary Pretlow
ocd-bill/65434295-358d-47c5-bb06-17ea2ec4bc39,Mike Reilly
ocd-bill/ea95a7b8-c3f4-4204-b58c-803aa7a293ef,Linda Rosenthal
ocd-bill/ea95a7b8-c3f4-4204-b58c-803aa7a293ef,Vivian Cook
ocd-bill/600334d0-457a-441c-b188-70e29417e7fe,Jonathan Jacobson
ocd-bill/2d960e3a-28b9-4347-8b62-7186f0ef1be6,Jeff Gallahan
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Jonathan Jacobson
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Al Taylor
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Karines Reyes
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Jo Anne Simon
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Charles Lavine
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Nader Sayegh
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Monica P. Wallace
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Alicia Hyndman
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Donna Lupardo
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,William Colton
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Patrick Burke
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Harvey Epstein
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Rebecca Seawright
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Karen McMahon
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Catalina Cruz
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Ron Kim
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Marianne Buttenschon
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,Christopher Eachus
ocd-bill/d94db5c6-1417-4b87-b45e-6ee8c8716b80,Jeffrion Aubry
ocd-bill/bbc5c16a-8ea1-4f8f-b1dd-8348deb282a2,Jeffrey Dinowitz
ocd-bill/bbc5c16a-8ea1-4f8f-b1dd-8348deb282a2,Manny De Los Santos
ocd-bill/bbc5c16a-8ea1-4f8f-b1dd-8348deb282a2,Steven Raga
ocd-bill/3a1876a4-9174-4eca-9a9a-a6abb0edf93b,Robert C. Carroll
ocd-bill/3a1876a4-9174-4eca-9a9a-a6abb0edf93b,William Colton
ocd-bill/3a1876a4-9174-4eca-9a9a-a6abb0edf93b,Jeffrey Dinowitz
ocd-bill/7bc8f5b3-05aa-49cf-9153-6a591c79a1ac,Jeffrion Aubry
ocd-bill/7bc8f5b3-05aa-49cf-9153-6a591c79a1ac,Marianne Buttenschon
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Carrie Woerner
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Fred Thiele
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Nader Sayegh
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jaime R. Williams
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,William Magnarelli
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,William Colton
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Albert A. Stirpe
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Monica P. Wallace
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Robert C. Carroll
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Steve Stern
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Karines Reyes
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Patricia Fahy
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Daniel Rosenthal
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Amy Paulin
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Billy Jones
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Donna Lupardo
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jonathan Rivera
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Inez E. Dickens
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Deborah Glick
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jo Anne Simon
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Kenneth Zebrowski
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Andrew Hevesi
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,David Weprin
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Nily Rozic
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Angelo Santabarbara
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Latrice Walker
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Vivian Cook
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Clyde Vanel
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jeffrey Dinowitz
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Pamela J. Hunter
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Didi Barrett
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Aileen Gunther
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Rebecca Seawright
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jonathan Jacobson
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Alicia Hyndman
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Michael Benedetto
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jeffrion Aubry
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Karen McMahon
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Patrick Burke
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Chantel Jackson
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Chris Burdick
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Khaleel Anderson
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Jen Lunsford
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Edward Braunstein
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Kenny Burgos
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Sarah Clark
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Crystal Peoples-Stokes
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Latoya Joyner
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Harry B. Bronson
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,Kimberly Jean-Pierre
