bill_id,bill_name,title,abstract,subject
ocd-bill/3a65a6fb-1a43-41af-89ba-eaed8d4ae9ff,A 7610,Prohibits broad indemnification by a design professional of a state or local agency or political subdivision involving public work for contracts,"Prohibits broad indemnification by a design professional of a state or local agency or political subdivision involving public work for contracts except to the extent that damages were caused by or the result of the negligence, recklessness, or willful misconduct of the design professional.",security
ocd-bill/8e88447b-5fca-4142-82ef-0627f1de7836,A 7619,Relates to residency restrictions for sex offenders,Authorizes municipalities to establish residency restrictions for sex offenders.,security
ocd-bill/62d9f5fa-6134-4913-8428-ff0fa4dbfde0,A 7587,Establishes the relocated worker grant program,Establishes the relocated worker grant program which requires the empire state development corporation to design and implement the relocated worker grant program which shall include a certification process to certify relocated workers and certify qualifying expenses for a reimbursement grant; defines terms; makes related provisions.,employment
ocd-bill/a9f8f924-b982-4f6f-8b28-1d3ecf4422fe,A 7635,Expands the scope of nurse staffing committees,Expands the scope of nurse staffing committees to include additional types of health care facilities.,employment
ocd-bill/4d872a30-e787-49d0-a770-1b6e96a18987,A 7864,Relates to requiring employers submit an affirmative acknowledgement of implementing a sexual harassment prevention policy which meets or exceeds the minimum standards,Requires employers to submit an affirmative acknowledgement of implementing a sexual harassment prevention policy which meets or exceeds the minimum standards upon the completion of the employer's annual training or the training of a newly hired employee.,employment
ocd-bill/1d7c4803-1515-4efc-9531-15a943fd7da0,A 2273,"Relates to the encroachment or adverse effect upon military operations by tall energy structures, major renewable energy facilities or wind energy facilities","Relates to the encroachment or adverse effect upon military operations by tall energy structures, major renewable energy facilities or wind energy facilities.",security
ocd-bill/2f7229f0-c67a-4a3e-97ec-65c2a59fe4ca,A 3028,Relates to the appointment of a military liaison to each school district,"Relates to the appointment of a military liaison to each school district, charter school, and private elementary and secondary school for purposes of providing military families with information regarding benefits they may be eligible for under the laws of this state.",security
ocd-bill/f64ead46-6880-4926-9f8d-33c522396b63,A 7389,Relates to the eligibility of New York city transit authority employees for performance of duty disability retirement,Relates to the eligibility of New York city transit authority employees for performance of duty disability retirement.,transportation
ocd-bill/a13019e5-a5a5-4e4c-971f-887e8a3e08f3,A 7567,Relates to crimes committed during periods of post-release supervision,"Provides that a person who commits a crime during a period of post-release supervision and when such charge culminates in a new sentence, the period of post-release supervision shall be deemed interrupted for any period in which such person was held in pre-trial detention.",employment
ocd-bill/849738c6-27cc-4925-8b32-8363c9938636,A 7506,"Provides that certain communications made without malice regarding an incident of sexual assault, harassment or discrimination shall be deemed privileged","Provides that certain communications made without malice regarding an incident of sexual assault, harassment or discrimination shall be deemed privileged; provides that a prevailing defendant in an action brought against such defendant for making a communication that is privileged shall be entitled to attorney's fees and costs for such defense.",security
ocd-bill/6cd5e60c-bb5b-4127-bdd8-1b9b7a876c4a,A 7562,Relates to the applicability of certain provisions with respect to persons injured in the use of scaffolding and other devices for use by employees,"Provides that where safety equipment or devices have been made available, and an employee has failed to follow safety instruction or safe work practices in accordance with training provided, or failed to utilize provided safety equipment or devices, or engaged in a criminal act or was impaired by the use of drugs or alcohol, and such failure, act or impairment is a proximate cause of an injury to such person, the conduct attributable to such person shall not bar recovery, but the amount of damages otherwise recoverable shall be determined in accordance with contributory negligence provisions.",transportation
ocd-bill/dc62bf44-e79f-4452-b2b2-6229a5ba165c,A 7570,Relates to the application for the medicare savings program,"Provides that low-income subsidy data transmitted from the social security administration to local departments of social services in accordance with section 1144(c)(3) of the federal social security act shall be treated as an application for the medicare savings program, without requiring submission of another application.",security
ocd-bill/6aff52ae-4693-4154-8506-dd835e79042a,A 7498,Requires the department of transportation to determine which entrances to parkways in the state are most frequently accessed by oversized commercial vehicles and to prevent such access,Requires the department of transportation to determine which entrances to parkways in the state are most frequently accessed by oversized commercial vehicles and to install certain barriers to prevent such vehicles from accessing such entrances.,transportation
ocd-bill/1d798bdc-17c7-44d2-9b62-5bb96baad9fe,A 7559,Provides certain exemptions for individuals having entered into a contract to play baseball at the minor league level and who are compensated pursuant to the terms of a collective bargaining agreement,"Provides certain exemptions for individuals having entered into a contract to play baseball at the minor league level and who is compensated pursuant to the terms of a collective bargaining agreement; includes exemptions under the labor law from minimum wage, overtime, and recordkeeping requirements and under article 6 of the labor law including but not limited to, recordkeeping requirements, wage statement requirements, and weekly pay requirements for ""manual workers"".",employment
ocd-bill/faa4f5c1-09df-4c8d-9c7d-ce09cea1e406,A 7536,Establishes the reimaging excess New York state property act,"Establishes the reimaging excess New York state property act; provides the reimaging excess New York state property authority shall purchase any abandoned, surplus or otherwise unused state-owned real property and reconstruct, renovate, replace, maintain, repair, enlarge, extend, operate, lease, as lessee or lessor, and/or regulate the repurposing of such properties.",security
ocd-bill/0e632a62-5e1f-46fd-97dc-6aa93d30b528,A 7560,Relates to federal qualified health center rate adequacy,Provides for the calculation and analysis of certain health center costs.,health
ocd-bill/ed87aef2-5467-464d-be99-8d3376732b3b,A 7488,Relates to Medicaid reimbursement rates for private duty nursing,Relates to Medicaid reimbursement rates for private duty nursing.,taxation
ocd-bill/544946f6-e240-4d96-859b-40d4d3666e17,A 7485,Relates to wage claims for manual workers,Relates to wage claims for manual workers; establishes an exception is provided from certain legal relief for instances of when payment is made within fourteen calendar days after the end of the week in which the wages were earned.,employment
ocd-bill/ee573350-bc23-4dc1-b99f-320a211249b5,A 7487,Establishes a drug checking services program,"Establishes through the department of health, in conjunction with the office of addiction services and supports, a drug checking services program to allow individuals to bring drugs or controlled substances and have them tested for contaminants, toxic substances, or hazardous compounds.",security
ocd-bill/e9764e55-8dbc-49ba-89e9-498a05652e61,A 4508,"Commissioner of the Office of Parks, Recreation and Historic Preservation shall provide Empire Passports to individuals whose qualified service commenced on or after","Directs the Commissioner of the Office of Parks, Recreation and Historic Preservation to provide Empire Passports to the families of reservists and members of the National Guard, whose qualified service commenced on or after September eleventh, two thousand one.",employment
ocd-bill/231334c4-690b-4d8b-b389-15ec61968612,A 7495,Relates to protective orders for juries,Permits the court to withhold the names and addresses of jurors in certain proceedings; sets factors for determining good cause to issue protective orders for juries.,security
ocd-bill/67884ab4-63d2-4a0a-a2fe-719b9c957c3a,A 7497,Requires electric vehicles to have an automatic cutoff switch,"Requires electric vehicles, including motor vehicles, bicycles with electric assist and electric scooters, to have an automatic cutoff switch; defines automatic cutoff switch.",transportation
ocd-bill/342e586b-b97d-4d96-89df-7a63f7ca5e14,A 7518,Creates a transparency database for contracted not-for-profit organizations,"Creates a transparency database for contracted not-for-profit organizations; provides such database will include those that are in the process of being approved for contracts, that have received certificates of approval, are approved for contracts, have received renewal contracts, or have been the recipient of fully-executed contracts with the state of New York.",employment
ocd-bill/d72b5982-13a9-4697-a4bf-a56e5942cc8c,A 7490,Relates to unlawful possession or sale of imitation drug paraphernalia,"Establishes the crime of unlawful possession or sale of imitation drug paraphernalia when such person knowingly possesses, purchases, delivers, sells, or possesses with intent to sell or deliver any punch, die, plate, stone, pill press, tableting machine, encapsulating machine or any other equipment in order to print, imprint, or reproduce the trademark, trade name or other identifying mark, imprint or device of another or any likeness of any of the foregoing upon any substance or container or labeling thereof knowing, intending, or having reasonable cause to believe that it will be used to manufacture an imitation drug.",environment
ocd-bill/08680922-d2df-43f8-bd84-0836951dedc9,A 7530,Permits assistant district attorneys to live anywhere within the state,Permits assistant district attorneys to live anywhere within the state.,employment
ocd-bill/12f7b47c-ae92-4b95-babd-bf206ebc9fdc,A 3607,Relates to the brownfield redevelopment tax credit,"Relates to the brownfield redevelopment tax credit; provides that in the event that the qualified site is owned by, or was acquired by a taxpayer from, a municipality and such municipality is a volunteer under the brownfield site clean-up agreement with respect to such qualified site, then the amount of the credit shall be reduced; defines ""infrastructure work""; makes related amendments.",taxation
ocd-bill/0b62ad1b-e822-400a-944e-5353ef18ae8f,A 7520,Requires the distribution of an information card or sheet with Schedule II opioids,Requires the distribution of an information card or sheet with Schedule II opioids.,health
ocd-bill/08dc296a-5b51-4d1a-9293-35366e65e7be,A 7501,Relates to creating a state office of algorithmic innovation,"Creates a state office of algorithmic innovation to set policies and standards to ensure algorithms are safe, effective, fair, and ethical, and that the state is conducive to promoting algorithmic innovation.",technology
ocd-bill/d9c664e2-f3a1-4a1b-8b52-6207d8f66ccf,A 7546,Requires the commissioner of health to develop a sustainability plan for the state university of New York downstate medical center,Requires the commissioner of health to develop a sustainability plan for the state university of New York downstate medical center; provides that such sustainability plan shall not limit or alter the rights of employees pursuant to a collective bargaining agreement.,environment
ocd-bill/55d68020-0ed2-4b1a-9b6d-3a18891d6c27,A 7625,Prohibits the use of biometric surveillance system or biometric surveillance information in places of public accommodation,Prohibits the use of biometric surveillance system or biometric surveillance information in places of public accommodation; prohibits entering into any agreement that authorizes any third party to use any biometric surveillance system or biometric surveillance information; provides penalties for violations.,housing
ocd-bill/61b17cad-14d7-4816-bf70-f32fa15f4956,A 7624,Prohibits the use of primates in entertainment acts,Prohibits the use of primates in entertainment acts; prohibits the department of environmental conservation for issuing any license or permit that would authorize the use of a primate in an entertainment act.,environment
ocd-bill/6672f60a-747e-4e69-a42b-c0b484456bd4,A 2941,Requires an updated photo to be taken in order to renew a driver's license,Requires an updated photo be taken in order to renew a driver's license.,transportation
ocd-bill/01b996e1-bc0b-4307-bb16-e231710a3fac,A 7617,Authorizes private membership establishments to have certain licenses for sale of alcohol,Authorizes private membership establishments to have certain licenses for sale of alcohol for consumption on premises.,security
ocd-bill/00103204-309a-48ec-81cd-b986b0c9c1a9,A 7602,Authorizes the delivery of telehealth services in schools by licensed providers,Authorizes the delivery of telehealth services in schools by licensed providers.,education
ocd-bill/ed9f9d06-22b2-4f2d-b1aa-74899a07d870,A 2923,Requires school crossing guards at high schools,Requires school crossing guards to be on each and every corner of every city block that contains a public or private high school during arrival and dismissal.,security
ocd-bill/be69d388-4175-47b7-aae3-870f76d17fb5,A 7599,Exempts certain entities from the in-person quorum requirements for videoconferencing by public bodies,"Exempts citywide/community education councils (CCECs), school leadership teams (SLTs) and district leadership teams (DLTs) from the in-person quorum requirements for videoconferencing by public bodies.",security
ocd-bill/1edd87cb-6442-4ab0-bae1-4976f7309cd6,A 7581,Relates to making a certain technical correction,Amends the penal law to change an incorrect reference.,technology
ocd-bill/0eba42ac-447d-4228-b90d-cf42c81019ce,A 7573,Requires the state to pay real property taxes on the assessed value of the Moriah shock incarceration correctional facility,Requires the state to pay all real property taxes on the assessed value of the Moriah shock incarceration correctional facility.,taxation
ocd-bill/68ee7d81-56bd-4ddf-839b-ff0e47779d98,A 7604,Repeals provision of vehicle and traffic law relating to periodic inspections of police vehicles,Relates to periodic inspections of police vehicles; removes exemption for police vehicles for periodic inspections.,transportation
ocd-bill/af3b764a-462d-42ba-9f9e-94e6ab4a37ab,A 7597,Relates to expanding the geographical area of employment of university police officers; repealer,Relates to expanding the geographical area of employment of university police officers; extends the jurisdiction of New York state university police officers from state university of New York property and abutting roadways to all areas of the state.,employment
ocd-bill/a122d18d-aa65-4599-a10c-82aada09ecae,A 7571,Adopts the interstate teacher mobility compact,"Adopts the interstate teacher mobility compact to facilitate the mobility of teachers across member states, with the goal of supporting teachers through new pathways to licensure; establishes a regulatory framework to expedite and enhance the ability of teachers to move across state lines.",transportation
ocd-bill/85bbcfb3-9e3b-444c-b2a7-037f54332239,A 2905,Requires the department of health to approve medical exemptions from immunization requirements,Requires the department of health to approve medical exemptions from immunization requirements.,health
ocd-bill/6107ca76-fcea-471b-8ad0-2a27b5c8ac3a,A 3021,Relates to creating a contraband and drug information hotline,Creates a contraband and drug information hotline for state correctional facilities; defines terms.,security
ocd-bill/97213461-0cf3-44dd-9209-9013e80e47bc,A 7598,"Repeals title 2 of article 14 of the election law, relating to public financing",Repeals provisions relating to public financing.,elections
ocd-bill/2de6689a-2ea3-48aa-8312-eb585ab0bd91,A 7589,Requires utility companies to reimburse consumers in the event of a prolonged power outage,Requires utility companies to reimburse consumers for spoilage of food and medication due to the lack of refrigeration in the event of a power outage lasting seventy-two hours or more.,transportation
ocd-bill/14d280ea-fc3a-4cf9-8c91-e7a33f71c21a,A 7608,Relates to apprenticeship training,Requires such apprenticeship program is specific to the type and scope of work which is being performed and have a graduation rate of at least thirty percent as determined by the department of labor; makes technical corrections.,employment
ocd-bill/2ad2546a-14d3-4e09-b877-61c0755911b8,A 7614,Relates to the use of telematics systems by insurers,Provides for the use of telematics or usage-based insurance for private passenger or commercial automobile insurance or policies in certain circumstances.,technology
ocd-bill/d7148158-29b1-4554-a20f-9e2c88c94b37,A 7601,Relates to providing county correction officers with a special optional twenty year retirement plan,Relates to providing county correction officers with a special optional twenty year retirement plan.,security
ocd-bill/e4fa1acf-401b-4798-9630-f3ce9196abc1,A 7621,Suspends the registration of a vehicle which has been documented five times within a twelve month period by a photo violation monitoring device for failure to comply with traffic-control indications,Suspends the registration of a vehicle which has been documented five times within a twelve month period by a photo violation monitoring device for failure of an operator thereof to comply with traffic-control indications for a period of six months.,transportation
ocd-bill/a0cc0e91-0369-4f98-bf67-17efbbe0f5e3,A 3039,Relates to establishing a sex trafficking awareness and prevention program,Directs the commissioner of DMV to establish a sex trafficking awareness and prevention program to provide education and awareness literature and educational materials to all drivers with a commercial motor vehicle license.,security
ocd-bill/e202bccd-54ca-4a7a-89d7-e54079dbabce,A 5480,Relates to primary social security retirement benefits for members of the New York city fire department pension fund,"Relates to primary social security retirement benefits for certain members; provides that in the computation of the normal service retirement benefit of members of the New York city fire department pension fund, there shall be no reduction for the primary social security retirement benefit.",security
ocd-bill/ace19276-e630-4305-af9d-786ca41a9403,A 338,Relates to the enactment of the Safer Consumption Services Act,Enacts the safer consumption services act which provides for the establishment of a program to provide safe injection sites.,security
ocd-bill/06dba9ac-b40b-4d42-9883-174dc488cbaf,A 1280,Enables safe access to public roads for all users by utilizing complete street design principles,Enables safe access to public roads for all users by utilizing complete street design principles.,security
ocd-bill/6dccc3d9-ab06-4d71-b0b4-5a2a9ec49edd,A 3104,Includes clinically necessary treatment for certain inpatient coverage,"Includes clinically necessary treatment for certain inpatient coverage, which shall mean an individual's medical needs and any social determinants of health that will promote such individual's stability following discharge from treatment.",health
ocd-bill/5e8b977a-22c6-4fcf-919c-dc9c4648488e,A 879,Authorizes the state gaming commission to impose fines upon entities participating in thoroughbred race meetings or off-track wagering; non-patrons,"Authorizes the state gaming commission to impose monetary fines upon any corporation, association or person participating in a thoroughbred race meeting or off-track betting, whether licensed by such commission or not, for violation of a commission rule or regulation; does not apply to track or parlor patrons.",taxation
ocd-bill/36a22f50-725f-4e43-b621-b6d873d5eaa4,A 654,Relates to coverage for punitive damages and civil penalties,"Permits a liability policy to provide coverage for punitive damages, civil penalties and other non-compensatory damages.",security
ocd-bill/0be0c379-90ad-4831-833f-ea11ffe2caba,A 962,Relates to recovery of certain housing accommodations by a landlord,Relates to recovery of certain housing accommodations by a landlord.,housing
ocd-bill/301533f2-e735-432f-8210-0d89be887144,A 889,Relates to establishing a property tax credit for class 2 cooperative and condominium buildings that are designated safe after a facade safety program inspection,Relates to establishing a property tax credit for class 2 cooperative and condominium buildings that are designated safe after a facade safety program inspection.,security
ocd-bill/98f9a50c-75bf-49ee-b081-c2a43a929cfa,A 773,Relates to regulation of toxic chemicals in pet products,Relates to regulation of toxic chemicals in pet products; requires disclosure on information on priority chemicals; establishes the interstate chemical clearinghouse; makes related provisions.,health
ocd-bill/9a033953-7802-4e9f-92e5-41c0f4b4dfd3,A 864,Relates to requiring qualification-based criteria for awarding certain contracts for services,Requires qualification-based criteria for awarding certain contracts for services to an entity that submits a statement of qualifications in response to a request for qualifications when an authorized entity utilizes a one-step method.,employment
ocd-bill/e40c3cab-5c00-4810-a2aa-e7d6bc101a8f,A 828,Bans open pickup trucks on the historic ten and one-half mile section of the Bronx River Parkway,"Bans open pickup trucks on the historic ten and one-half mile section of the Bronx River Parkway, beginning in the city of Yonkers and the village of Bronxville where such Parkway diverges from the Sprain Brook Parkway and extends north along the Bronx River Parkway Reservation to the Kenisco Dam Plaza in the hamlet of Valhalla, town of Mt. Pleasant.",employment
ocd-bill/65434295-358d-47c5-bb06-17ea2ec4bc39,A 2950,Establishes a child care tax credit,Relates to establishing a child care tax credit; credit shall be twenty-five percent of the expenses of child care.,taxation
ocd-bill/ea95a7b8-c3f4-4204-b58c-803aa7a293ef,A 882,Relates to a pedestrian's right of way,Expands and clarifies when pedestrians shall be entitled to the right of way with respect to all other traffic.,transportation
ocd-bill/600334d0-457a-441c-b188-70e29417e7fe,A 957,Enables public authorities to transmit electronic notifications to E-ZPass customers,"Enables public authorities that offer E-ZPass payment for tolls, fares, fees, rentals or other charges to transmit electronic notifications stating that the electronic toll collection system has registered the customer's account to E-ZPass customers who opt in for such service.",technology
ocd-bill/2d960e3a-28b9-4347-8b62-7186f0ef1be6,A 2953,Authorizes distinctive license plates for supporters of the conservation of the Seneca white deer,"Authorizes distinctive license plates for supporters of the conservation of the Seneca white deer; establishes the New York state ""preserve the Seneca white deer fund"".",transportation
ocd-bill/c9db9c3a-66e6-418c-a1f8-900954bf30a8,A 946,Expands eligibility for the New York state excelsior scholarship award to certain applicants enrolled on a part-time basis or in a BOCES or other approved vocational program,"Expands eligibility for the New York state excelsior scholarship award to certain applicants enrolled on a part-time basis or in a BOCES or other approved vocational program; provides criteria for eligibility, and limits on amounts and durations for any such awards.",education
ocd-bill/d94db5c6-1417-4b87-b45e-6ee8c8716b80,A 666,Provides that the commissioner of environmental conservation shall place and operate certain air quality monitoring systems in proximity to N.Y. city airports,Provides that the commissioner of environmental conservation shall place and operate certain air quality monitoring systems in proximity to NY city airports.,environment
ocd-bill/bbc5c16a-8ea1-4f8f-b1dd-8348deb282a2,A 774,Creates an extra transfer for pay-per-ride Metrocard users,Relates to allowing two automatic free transfers for riders using pay-per-ride Metrocards.,transportation
ocd-bill/3a1876a4-9174-4eca-9a9a-a6abb0edf93b,A 813,Relates to petitions for election to the party position of member of the county committee,Relates to petitions for election to the party position of member of the county committee; provides that candidates shall not be required to provide their zip code if they have clearly stated their town or city on their petition.,employment
ocd-bill/7bc8f5b3-05aa-49cf-9153-6a591c79a1ac,A 719,Provides for a sex offender registry check for youth organization volunteers who have direct contact with youths under the age of 18,Provides for a sex offender registry check for youth organization volunteers who have direct contact with youths under the age of 18.,security
ocd-bill/f5c5952b-c66b-4320-9edc-7ba840ad9cc2,A 964,Establishes the clean fuel standard of 2023,"Establishes the clean fuel standard of 2023; provides such standard is intended to reduce carbon intensity from the on-road transportation sector by 20% by 2031, with further reductions to be implemented based upon advances in technology.",security
ocd-bill/1470273d-5344-47a6-b209-f9208face419,A 675,Relates to mandating greater levels of disclosure by non-fiduciaries that provide investment advice,Relates to mandating greater levels of disclosure by non-fiduciaries that provide investment advice; requires signed acknowledgement of disclosure informing clients that the advisor owes no fiduciary duty.,security
ocd-bill/954f43cd-f03e-44b1-85e1-d23d5eb85b10,A 636,Prohibits the disclosure of immigration status for victims of domestic violence,Prohibits disclosure of immigration status for victims of domestic violence.,security
ocd-bill/2ed9af94-a38c-4c00-a238-d887182bec47,A 776,Relates to aggravated cruelty to animals,Relates to aggravated cruelty to animals.,environment
ocd-bill/90c62b70-ee27-447a-805c-3c8d17234171,A 7578,Relates to the imposition of penalties and remedies in suits brought for the vindication of civil rights or human rights,Relates to the imposition of penalties and remedies in suits brought for the vindication of civil rights or human rights.,security
ocd-bill/0949f9c4-f83f-4f68-8d71-7b7778e28f0e,A 944,Establishes certain offenses relating to crypto fraud,"Establishes the offenses of virtual token fraud, illegal rug pulls, private key fraud and fraudulent failure to disclose interest in virtual tokens.",technology
ocd-bill/06b6c8cc-1fe5-4a6b-9765-6abda0344735,A 927,Prevents interactive computer service providers from knowingly or negligently promoting developed content that is dangerous or otherwise injurious to minors,Prevents interactive computer service providers from knowingly or negligently promoting developed content that is dangerous or otherwise injurious to minors; assesses a civil penalty to social media networks that knowingly or negligently promote such content.,security
ocd-bill/9d4d21df-69e4-42b7-9207-3b788074a544,A 702,Requires hospitals to provide language assistance services,"Requires hospitals to provide language assistance services to a patient or a patient's assistant for communication of clinical and other information, including but not limited to health care, billing and making appointments, to ensure effective communication; provides that such interpreter may be a qualified interpreter, volunteer or medical personnel at such hospital; provides for such services to be available at all locations during all times that patient care is available; provides that translations of frequently used forms essential to a patient's care and treatment be available in all of the hospital's primary languages; provides for training of those providing interpretation services; requires the hospital to submit to the commissioner an annual report assessing compliance; defines primary language and patient visits.",health
ocd-bill/c67b0e1d-bf25-413d-94ba-d3e93c29b12f,A 634,Relates to bias related criminal activity,"Proscribes conduct constituting a bias related crime, meaning for such purposes, the commission of a designated act that demonstrates a prejudice based on the race, color, religion, national origin, age, ethnicity, disability, gender or sexual orientation of the victim; denies the granting of youthful offender status for any offender committing such a crime.",environment
ocd-bill/b0ee82cb-531f-49c2-9efd-c01d852ef7b2,A 652,Requires foster care records of incarcerated individual to be sent to a correctional facility,Requires foster care records of incarcerated individuals to be sent to the correctional facility.,security
ocd-bill/36abbd6f-b2ee-4953-be6f-8741ac9b5e27,A 698,Implements escalating penalties for vehicles which have been documented multiple times by a photo violation monitoring device for failure to comply with traffic-control indications,Implements escalating penalties for vehicles which have been documented multiple times by a photo violation monitoring device for failure to comply with traffic-control indications up to a suspension of a vehicle's registration.,transportation
ocd-bill/133b36d8-9236-4ca0-b775-015f550c1b7d,A 7605,Waives a registration fee for basic life support first response agencies,Relates to waiving the $200 microscopy registration fee for basic life support first response agencies.,security
ocd-bill/ff4e21e7-7bcd-4d1c-9543-4167f4b0e508,A 792,Provides for requirements for approval for merger and consolidation of certain health care providers by the public health and health planning council,"Provides for requirements for approval for proposals to merge, consolidate, partner, acquire through the establishment of control or proposals for any other transaction or affiliation of certain health care providers.",health
ocd-bill/4facc3a7-f113-4739-88e9-518774b35eb6,A 713,Relates to proceedings with respect to designating and nominating petitions,Allows for limited three-day expansion of the statute of limitations where a proceeding to invalidate a designating or nominating petition has been commenced.,elections
ocd-bill/72cf2e4c-48e4-4f59-b7ce-75bbfbdebf1b,A 7618,Authorizes camp operators and employees to administer medications and treatment to children under certain circumstances,"Allows camp operators and employees to administer medications and treatment to children, under parent direction and authorization.",security
ocd-bill/7fe33b91-8015-4714-ae80-d6c6a9c8f764,A 716,Prohibits the use of state aid by colleges and universities to fund or provide membership in academic institutions that are boycotting a country or higher education institutions of a country,Prohibits the use of state aid by colleges and universities to fund or provide membership in academic institutions that are boycotting a country or higher education institutions of a country.,education
ocd-bill/92cbb65e-e0e9-4254-b1e2-fc14f5de88d6,A 7595,Relates to the installation of solar canopies in certain parking facilities,"Permits and encourages state owned parking facilities to install solar canopies in any parking garage, open parking lot or other parking facility owned and/or operated by the state of New York, that offers parking spaces for the purposes of public use, state employee use or pay-per-usage constructed prior to January first, two thousand twenty-eight; requires such installation after January 1, 2028.",transportation
ocd-bill/154da958-d00b-4292-a232-770b5133eccd,A 805,Relates to directing the department of health to study the potential health risks and effects of glyphosate and its by-product aminomethylphosphonic acid,"Relates to directing the department of health to study the potential health risks and effects of glyphosate and its by-product aminomethylphosphonic acid; requires the commissioner of health to prepare a report for the governor and the legislature that includes the findings of such study, and to conduct an outreach program to inform local governments, private organizations, schools and the public regarding the findings of such report.",health
ocd-bill/919968dd-8afa-424d-a5b9-3e4cb5287286,A 3064,Relates to tuition assistance program awards,Increases the minimum tuition assistance program award; increases the maximum parental income amount.,education
ocd-bill/b8d097eb-2a22-483f-9f01-7108efe6721c,A 887,Relates to issuing a certificate of compliance to any employer who achieves a gender pay gap of 10% or less,Relates to issuing a certificate of compliance to any employer who achieves a gender pay gap of 10% or less.,employment
ocd-bill/13df9015-fc24-49d6-876d-604f0a3ad039,A 770,Relates to patient counseling before issuing a prescription for a schedule II opioid,"Relates to patient counseling before issuing a prescription for a schedule II opioid; requires practitioners to consult with the patient regarding the quantity of the opioid and the patient's option to fill the prescription in a lesser quantity, and to inform the patient of the risks associated with opiate addiction and document the reason for the prescription.",health
ocd-bill/220b00b1-3338-4757-93f3-ff59536983e9,A 7579,Relates to procedures and other matters related to the receipt or discontinuation of certain benefits,Requires that all procedures and other matters related to the receipt or discontinuation of benefits available under section two hundred seven-c of the general municipal law shall be mandatorily negotiable terms and conditions of employment.,employment
ocd-bill/2f059908-e5f5-4a76-b47d-bd71a1d0ed73,A 3108,Prohibits individuals under the age of twenty-one from gambling,Prohibits individuals under the age of twenty-one from gambling.,security
